S.NO,"D.O DATE",S.LINE,"BILLED TO","SHIP NO","ADVANCE 1","CON NO.",SIZE,FROM,TO,"VEHICLE NO.","CON PICKUP DATE","CON OFFLOAD DATE","S.LINE HANDLE BY","TRANSPORT NAME","TRPT FREIGHT",REMARKS,"L FREIGHT","L INVO NO","L INVO DATE","REMARKS 2","CREDIT NOTE AMT","CREDIT NOTE NO","CREDIT NOTE DATE"
1,01/04/24,MSC,,NA,,CAIU7718183,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,hj,,,,,,,
2,01/04/24,MSC,,NA,,TGHU8809895,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
3,01/04/24,MSC,,NA,,MSCU5450141,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
4,01/04/24,MSC,,NA,,UESU4586789,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
5,01/04/24,MSC,,NA,,MEDU4916503,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
6,01/04/24,MSC,,NA,,FFAU1691255,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
7,01/04/24,MSC,,NA,,TXGU5400749,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
8,01/04/24,MSC,,NA,,TCNU2017055,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
9,01/04/24,MSC,,NA,,FFAU2215736,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
10,01/04/24,MSC,,NA,,CAIU4488030,40,NK/SONIPAT,DICT,HR55W0707,,,PANKAJ,KAUSHAL,1800,,,,,,,,
11,01/04/24,MSC,,NA,,TGCU5010844,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
12,01/04/24,MSC,,NA,,TCLU5552274,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
13,01/04/24,MSC,,NA,,FCIU9184296,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
14,01/04/24,MSC,,NA,,TGBU5603194,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
15,01/04/24,MSC,,NA,,MEDU8695442,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
16,01/04/24,MSC,,NA,,FCIU9077019,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
17,01/04/24,MSC,,NA,,CARU9650983,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
18,01/04/24,MSC,,NA,,TEMU8302701,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
19,01/04/24,MSC,,NA,,TCLU5713548,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
20,01/04/24,MSC,,NA,,MSDU5501514,40,NK/SONIPAT,DICT,NL01AC7739,,,PANKAJ,SANTOSH,1800,,,,,,,,
21,01/04/24,MSC,,NA,,MSCU7281020,40,NK/SONIPAT,DICT,HR46E5052,,,PANKAJ,RAJESH,1800,,,,,,,,
